number	file_name	vulnerability	severity	is_sensitively_vulnerable	CWE/CVE/New	confidence_score	sensitive_function_responsible	standard_or_custom	explanation	code_snippet
3402	jwtalk.net.js	Server Side Request Forgery (SSRF) via untrusted 'id' parameter in push event	Medium	true	CWE-829	9	N/A	standard	{The fetch() function is used with a URL constructed from an untrusted 'id' parameter received via the push event. Since the 'id' value is directly interpolated into the URL without validation or sanitization, an attacker can manipulate it to trigger requests to unintended internal or external endpoints, leading to SSRF.}	```fetch(`${BASE_URL}index.php?app=core&module=system&controller=notifications&do=fetchNotification&id=${id}`, { method: 'POST', credentials: 'include' })```
3403	jwtalk.net.js	Incorrect logic for determining logged-in state leading to potential authorization bypass	Medium	false	New	N/A	N/A	N/A	{The vulnerability arises from flawed logic in parsing the 'loggedIn' parameter from the URL, not from misuse of a sensitive function. The code assumes the parameter is always present and correctly formatted, which could lead to authorization bypass if the URL is manipulated, but no sensitive function is misused.}	```let matches = e.currentTarget.location.href.match(/loggedIn=(true|false)/); const loggedIn = matches[1]; if (loggedIn == 'true') { log('Logged in, nothing to do...'); return; }```
3404	jwtalk.net.js	Server Side Request Forgery (SSRF) via untrusted 'path' parameter in CSRF token fetch	Medium	true	CWE-829	9	N/A	standard	{The fetch() function is used with a URL constructed from an untrusted 'path' parameter derived from the request URL. Since 'path' is directly interpolated into the URL without validation or sanitization, an attacker can manipulate it to trigger requests to unintended internal or external endpoints, leading to SSRF.}	```fetch(`${BASE_URL}index.php?app=core&module=system&controller=ajax&do=getCsrfKey&path=${path}`)```
3405	da012.com.js	Code Injection	High	true	N/A	9	importScripts	standard	{The function `importScripts()` is used with a dynamically constructed URL derived from the `e` parameter, which is passed directly from user input via the `e` function. Since `e` is derived from an external module path (potentially controlled by an attacker), and `importScripts()` executes any script at the provided URL without sanitization, this allows arbitrary script execution. The vulnerability is exacerbated by the fact that the script is loaded in the context of the service worker, which can lead to full compromise of the application’s caching and network interception capabilities.}	"```if (!self.define) { const e = e => { ""require"" !== e && (e += "".js""); let r = Promise.resolve(); return n[e] || (r = new Promise(async r => { if (""document"" in self) { const n = document.createElement(""script""); n.src = e, document.head.appendChild(n), n.onload = r; } else importScripts(e), r(); })), r.then(() => { if (!n[e]) throw new Error(`Module ${e} didn’t register its module`); return n[e]; }); });```"
3406	pg88vnd.com.js	Improper Script Loading in Module Loader	High	true	CWE-22	10	importScripts	standard	{The module loader dynamically constructs script URLs from user-controlled input (via the `e` parameter) and uses `importScripts()` to load them. Since `importScripts()` executes any script at the provided URL without validation, an attacker can manipulate the input to load and execute arbitrary remote scripts, leading to code injection and full compromise of the service worker.}	"```if (!self.define) { const e = e => { ""require"" !== e && (e += "".js""); let r = Promise.resolve(); return n[e] || (r = new Promise(async r => { if (""document"" in self) { const n = document.createElement(""script""); n.src = e, document.head.appendChild(n), n.onload = r; } else importScripts(e), r(); })), r.then(() => { if (!n[e]) throw new Error(`Module ${e} didn’t register its module`); return n[e]; }); }```"
3407	liverpoolway.co.uk.js	Server-Side Request Forgery (SSRF) via unsanitized 'id' parameter in push event	High	true	CWE-918	9	N/A	standard	{The fetch() function is used with a URL constructed from the 'id' parameter received from a push event, which is untrusted. Since the 'id' value is directly interpolated into the URL without sanitization or validation, an attacker can manipulate it to trigger requests to arbitrary internal or external endpoints, leading to SSRF.}	```const promiseChain = fetch(`${BASE_URL}index.php?app=core&module=system&controller=notifications&do=fetchNotification&id=${id}`, { method: 'POST', credentials: 'include' })```
3408	liverpoolway.co.uk.js	Server-Side Request Forgery (SSRF) via unsanitized 'path' parameter in CSRF token fetch	High	true	CWE-918	9	N/A	standard	{The fetch() function is used with a URL constructed from the 'path' parameter derived from the request URL, which is untrusted. The 'path' value is directly interpolated into the URL without sanitization, allowing an attacker to forge requests to unintended endpoints, resulting in SSRF.}	```fetch(`${BASE_URL}index.php?app=core&module=system&controller=ajax&do=getCsrfKey&path=${path}`)```
3409	liverpoolway.co.uk.js	Insecure Direct Object Reference (IDOR) via client-side 'loggedIn' check bypass	Medium	false	CWE-200	0	N/A	N/A	{The vulnerability arises from client-side logic that parses the 'loggedIn' parameter from the URL, which can be easily manipulated by users. This is not due to misuse of a sensitive JavaScript function, but rather a flawed security design relying on client-side state.}	```let matches = e.currentTarget.location.href.match(/loggedIn=(true|false)/); const loggedIn = matches[1];```
3410	bdjobscareers.com.js	Exposure of Sensitive Information	High	false	CWE-200	N/A	N/A	N/A	{The vulnerability arises from hardcoding sensitive credentials (API key, project ID, etc.) in the script, not from misuse of a sensitive JavaScript function.}	```const options = { firebaseConfig: { projectId: 'push-f28df', messagingSenderId: '853701048653', appId: '1:853701048653:web:24c57b54ac8f406cfa9f04', apiKey: 'AIzaSyDdv9l9pLe-ILPcpjmKnPGeliy4UQYtHZQ' }, domain: 'www.bdjobscareers.com', api_url: 'https://push.bdjobscareers.com/api/token', vapid_public_key: 'BACViJ8rYntosyTqbK7gTCSfkFfGjdfVfpDGuWeC76IexvPAFeEov-CadFh4dUz56R4a35QKHcbwZidopolZZJg' };```
3411	bdjobscareers.com.js	Improper Input Validation	Medium	true	CWE-20	N/A	clients.openWindow	N/A	{The code uses `clients.openWindow(targetUrl)` and `fetch(apiUrl)` where `targetUrl` and `apiUrl` are derived from notification data, which is untrusted input. This allows an attacker to control the URLs, leading to open redirect or arbitrary resource fetching, which is a misuse of the `clients.openWindow` and `fetch` functions.}	```let targetUrl = event.notification.data.url; let apiUrl = event.notification.data.api_url; if (event.action && event.notification.data.actions[event.action]) { targetUrl = event.notification.data.actions[event.action].click_action; apiUrl = event.notification.data.actions[event.action].api_url; } clients.openWindow(targetUrl); fetch(apiUrl);```
3412	bdjobscareers.com.js	Insecure Data Storage	Low	false	CWE-311	N/A	N/A	N/A	{The vulnerability stems from storing data in IndexedDB without encryption, which is a data storage issue, not a misuse of a sensitive JavaScript function.}	```writeData = async (key, value) => { const db = await this.openDatabase(); const transaction = db.transaction('myObjectStore', 'readwrite'); const objectStore = transaction.objectStore('myObjectStore'); const request = objectStore.put({ id: key, data: value });```
3413	topquizz.com.js	Open Redirect via Unvalidated Click Action	Medium	true	CWE-601	9	N/A	standard	{The function `self.clients.openWindow()` is a standard browser API used to open a new window or tab. When it is called with user-controlled input (e.g., `e.notification.data.click_action`), and that input is not validated or sanitized, it can be manipulated to redirect users to arbitrary, potentially malicious URLs. This constitutes an open redirect vulnerability, allowing attackers to trick users into visiting phishing or malicious sites.}	```e.waitUntil(self.clients.openWindow(e.notification.data.click_action));```
3414	cutedressup.com.js	Precaching Empty String Vulnerability	Low	false	New	N/A	N/A	N/A	{The vulnerability arises from precaching an empty string, which may lead to unintended behavior or cache key conflicts, but it does not stem from misuse of a sensitive function like importScripts or eval. The workbox.precaching.precache function is used correctly with static inputs, and no dynamic or untrusted data is involved.}	"```workbox.precaching.precache([""https:\/\/cutedressup.com"", """", ""https:\/\/cutedressup.com\/contact-us\/""]);```"
3415	nyctransitforums.com.js	Improper Input Validation Leading to SSRF	High	true	CWE-918	10	fetch	standard	{The fetch function is used with a URL constructed from the `id` parameter received from a push notification, which is untrusted input. The URL is built as `${BASE_URL}index.php?...&id=${id}`, allowing an attacker to manipulate the `id` value to trigger requests to unintended internal or external endpoints, potentially leading to SSRF if the server makes outbound requests based on this input.}	N/A
3416	nyctransitforums.com.js	Open Redirect via Unvalidated Notification URL	Medium	true	CWE-601	9	clients[0].navigate	standard	{The clients[0].navigate function is called with a URL derived from the `data.url` field in a notification payload, which is untrusted. If an attacker can control this field, they can redirect users to arbitrary websites, leading to open redirect vulnerabilities. The code does not validate or sanitize this URL before navigation.}	N/A
3417	idolforums.com.js	Server-Side Request Forgery (SSRF)	High	true	CWE-918	10	N/A	standard	{The fetch() function is used with a dynamically constructed URL that includes the `id` parameter from the push event data. Since this `id` value is derived from untrusted external input (push notification payload), an attacker could craft a malicious notification with a crafted `id` value to make the service worker send requests to arbitrary internal or external endpoints, leading to SSRF. The URL is built using template literals and concatenation, and no validation or sanitization is applied to the `id` parameter, making this a direct misuse of the standard fetch API.}	```const promiseChain = fetch(`${BASE_URL}index.php?app=core&module=system&controller=notifications&do=fetchNotification&id=${id}`, { method: 'POST', credentials: 'include' })```
3418	potsandpans.in.js	Remote Code Execution via External Script Import	High	true	CWE-444	10	importScripts	standard	"{The importScripts() function is a standard JavaScript API used in Service Workers to load and execute external scripts. In this case, it is used with a dynamically constructed URL (swUrl + ""?orgtoken=706lg-BQQwWNeIcF2hlgXQ""), which, while not directly user-controlled, is still a remote script source. Since the script is loaded from an external domain (tracker.wigzopush.com), it introduces a risk of remote code execution if the remote script is compromised or if the domain is hijacked. The function is sensitive because it executes arbitrary code from a remote source without any sanitization or integrity checks.}"	"```var swUrl = 'https://tracker.wigzopush.com/wigzo_sw.js'; importScripts(swUrl + ""?orgtoken=706lg-BQQwWNeIcF2hlgXQ"");```"
3419	detoursenfrance.fr.js	Exposure of Sensitive Information	High	false	N/A	N/A	N/A	N/A	{The vulnerability arises from the exposure of sensitive credentials (appKey, token, vapidPublicKey) in the code, but not due to misuse of a sensitive JavaScript function. These values are hardcoded and statically defined, not dynamically derived or passed to a function that could lead to injection or execution risks.}	```importScripts('https://aswpsdkeu.com/notify/v1/ua-sdk.min.js');uaSetup.worker(self, { defaultIcon: 'https://i.unimedias.fr/ui/def/logo-def.png', defaultTitle: 'Détours en france', defaultActionURL: 'https://www.detoursenfrance.fr', appKey: 'Fid51zb5Sxu6EUOt5fA95Q', token: 'MTpGaWQ1MXpiNVN4dTZFVU90NWZBOTVROmVrckNEN2dRVENVRnJGelRiZW5kRzZFVlU3ZUpPS3poeVd4cmpNaktHSzQ', vapidPublicKey: 'BOjwj89C-DPbH0sqhgvmvmdLIQvmwPK7qQ6vAwBA-eLfwlEnQLWWdFx4Byg8zCEyulus1cd9pp6bWcsYjoHxRsg' });```
3420	nyetroms.no.js	Vulnerable Host Check in Pattern	High	true	N/A	N/A	RegExp.prototype.test	standard	{The pattern4 function uses a regular expression to check if the request's host contains the string 'www.nyetroms.no'. However, the host string is not sanitized or validated before being used in the RegExp test, and the pattern is hardcoded with literal quotes around the domain. This creates a potential for misinterpretation or injection if the host value were dynamic, though in this case it is static. The vulnerability arises from the unsafe use of RegExp.test with a potentially untrusted or unsanitized input context, even if the input is hardcoded here.}	```const pattern4 = (req) => { return req.event.request.mode === 'navigate' && req.url.pathname === '/' && req.url.host.indexOf(''www.nyetroms.no'') !== -1 && req.event.request.method === 'GET'; };```
3421	nyetroms.no.js	Cache Poisoning via Vary Header Modification	High	true	N/A	N/A	Response	standard	{The cacheWillUpdate function creates a new Response object using the original response's headers, including the 'Vary' header. It then modifies the 'Vary' header by filtering out 'user-agent' values. However, this function does not validate or sanitize the headers before creating the new Response, allowing an attacker to inject arbitrary headers (including 'Vary') into the cached response. This can lead to cache poisoning, where responses are served to the wrong clients based on manipulated Vary headers, potentially exposing sensitive data or bypassing security controls. The misuse of the Response constructor with unsanitized headers is the root cause.}	```async function cacheWillUpdate({ response }) { const init = { status: response.status, statusText: response.statusText, headers: {} }; response.headers.forEach((val, key) => { init.headers[key] = val; }); if (init.headers.vary) { init.headers.vary = init.headers.vary.split(',').filter(h => h.trim().toLowerCase() !== 'user-agent').join(','); } self.emergencyMode = (init.headers['x-emergency-mode'] || '').split(','); const body = await response.text(); return new Response(body, init); }```
3422	autostol63.ru.js	Incorrect URL Matching in Cache Exceptions	High	true	CWE-601	N/A	N/A	standard	{The code uses `indexOf` to check if a URL pathname or hostname exists in a comma-separated string of exceptions. This is unsafe because it performs substring matching without proper URL parsing or normalization, allowing attackers to bypass cache exceptions by crafting URLs that contain substrings matching the exception list (e.g., `https://evil.com/path` matching `https://vk.com` if `path` is part of the string). This leads to unintended cache bypass or resource fetching.}	```if (url_exception.pathname && url_exception.pathname != '/' && busApp.setting['cache_resources_exception'].indexOf(url_exception.pathname) != -1 || url_exception.hostname && busApp.setting['cache_resources_exception'].indexOf(url_exception.hostname) != -1) { return event.request; }```
3423	autostol63.ru.js	Open Redirect in Notification Handling	Medium	true	CWE-601	N/A	N/A	standard	{The `clients.openWindow(url)` function is called with a URL derived from `event.notification.data.url`, which is user-controlled via push notifications. Since the URL is not validated or sanitized, an attacker can craft a malicious notification payload to redirect users to arbitrary websites, leading to phishing or drive-by downloads.}	```if ('data' in event.notification) { var url = event.notification.data.url.replace(/&amp;/g, '&'); for (var i = 0; i < clientList.length; i++) { var client = clientList[i]; if (client.url == url && 'focus' in client) { return client.focus(); } } if (clients.openWindow) { return clients.openWindow(url); } }```
3424	ilmaggiodeilibri.it.js	Server Side Request Forgery (SSRF	Medium	true	CWE-918	9	fetch	standard	{The fetch function is used with a URL constructed from untrusted input (sensor_url and push_send_id from event.data). Since these values are derived from external data (push notification payload), an attacker can manipulate them to make the service worker send requests to arbitrary internal or external endpoints, leading to SSRF.}	```var ve = sensor_url + '/e?site_name=www.ilmaggiodeilibri.it&push_send_id=' + body.data.push_send_id + '&event_name=view'; fetch(ve, { method: 'get' })```
3425	ilmaggiodeilibri.it.js	Server Side Request Forgery (SSRF	Medium	true	CWE-918	9	fetch	standard	{The fetch function is used with a URL constructed from untrusted input (sensor_url and push_send_id from event.notification.data). Since these values are derived from external data (notification payload), an attacker can manipulate them to make the service worker send requests to arbitrary internal or external endpoints, leading to SSRF.}	```var vc = event.notification.data.sensor + '/e?site_name=www.ilmaggiodeilibri.it&push_send_id=' + event.notification.data.push_send_id + '&event_name=click'; fetch(vc, { method: 'get' })```
3426	ourendangeredworld.com.js	Improper URL Validation in Cache Bypass	High	false	N/A	N/A	N/A	N/A	{The vulnerability arises from hard-coded URLs in the offlineFundamentals array, which are used for precaching. Since these URLs are not dynamically derived from untrusted input, they do not involve misuse of a sensitive function. The issue is more about static configuration rather than function misuse.}	"```var offlineFundamentals = [{""url"": ""https:\/\/www.ourendangeredworld.com"", ""revision"": ""60551""}];```"
3427	ourendangeredworld.com.js	Insecure Cache Key Generation	Medium	true	N/A	N/A	`new URL(s, location.href)`	standard	{The function `new URL(s, location.href)` is used to generate cache keys from URLs. If the input URL `s` is derived from untrusted sources (e.g., user-controlled parameters), it could be manipulated to bypass cache validation or inject malicious cache keys. This misuse allows attackers to influence cache behavior, potentially leading to cache poisoning or bypassing intended security controls.}	"```const { cacheKey: e, url: s } = e; const n = new URL(s, location.href), a = new URL(s, location.href); n.searchParams.set(""__WB_REVISION__"", t);```"
3428	ourendangeredworld.com.js	Cross-Origin Resource Caching	High	true	N/A	N/A	`new URL(e.url).origin`	standard	{The function `new URL(e.url).origin` is used to extract the origin of a response URL. If `e.url` is derived from untrusted input, an attacker could supply a cross-origin URL, leading to unintended caching of cross-origin resources. This violates same-origin policy and may expose sensitive data or allow cache poisoning.}	"```if (e.url) { s = new URL(e.url).origin; } if (s !== self.location.origin) throw new r(""cross-origin-copy-response"", { origin: s });```"
3429	ourendangeredworld.com.js	Insecure Cache Busting Mechanism	Medium	true	N/A	N/A	`searchParams.set`	standard	{The `searchParams.set('__WB_REVISION__', t)` method is used to append a revision parameter to URLs for cache busting. If the `t` (revision) value is derived from untrusted input, it could be manipulated to bypass cache validation or trigger unintended cache behavior, potentially leading to cache poisoning or stale content delivery.}	"```const n = new URL(s, location.href); n.searchParams.set(""__WB_REVISION__"", t);```"
3430	ourendangeredworld.com.js	Insecure Cache Deletion Logic	Medium	false	N/A	N/A	N/A	N/A	{The cache deletion logic involves filtering and deleting cache entries based on cache keys. Since the cache keys are derived from preconfigured URLs and not from untrusted input, there is no misuse of a sensitive function. The vulnerability stems from improper handling of cache keys rather than function misuse.}	```const { deletedURLs: n } = await e.caches.open(this.strategy.cacheName).keys();```
3431	emumovies.com.js	Improper Input Validation (IDOR via push event)	High	true	CWE-20	N/A	fetch	standard	{The fetch function is used with a dynamically constructed URL that includes the 'id' parameter from the push event data. Since this 'id' is directly taken from untrusted input (push notification payload) without validation or sanitization, an attacker can manipulate it to access unauthorized notifications, leading to Insecure Direct Object References (IDOR). The URL is built as `${BASE_URL}index.php?app=core&module=system&controller=notifications&do=fetchNotification&id=${id}`, making it vulnerable to IDOR attacks.}	```const promiseChain = fetch(`${BASE_URL}index.php?app=core&module=system&controller=notifications&do=fetchNotification&id=${id}`, { method: 'POST', credentials: 'include' })```
3432	emumovies.com.js	Open Redirect via notification click	Medium	true	CWE-601	N/A	navigate	standard	{The navigate function is used with the 'data.url' value from the notification payload, which is untrusted and unsanitized. If an attacker can control the notification data (e.g., via a malicious push message), they can set 'data.url' to an arbitrary external URL, causing the browser to navigate to that URL when the notification is clicked, resulting in an open redirect.}	```clients[0].navigate(data.url ? data.url : BASE_URL)```
3433	taki.sale.js	Insecure Use of Third-Party Code without SRI	Medium	false	N/A	0	N/A	N/A	{The vulnerability is not caused by misuse of a sensitive function, but rather by the lack of Subresource Integrity (SRI) checks when loading the third-party script via importScripts. While importScripts is a sensitive function, its use here is with a hardcoded, trusted URL, so no dynamic or untrusted input is involved. Therefore, the issue is a configuration or policy gap, not a sensitive function misuse.}	```importScripts('https://storage.googleapis.com/workbox-cdn/releases/5.1.2/workbox-sw.js');```
3434	dreamtours.pl.js	Missing Security Headers in Offline Page	Medium	false	N/A	0	N/A	N/A	{The vulnerability is not caused by misuse of a sensitive JavaScript function, but rather by the absence of security headers (e.g., Content-Security-Policy, X-Content-Type-Options) in the offline response. The code constructs a static HTML response using `new Response()` with only a Content-Type header, which is insufficient for protecting against certain client-side attacks.}	"```return new Response(responseContent, { headers: { ""Content-Type"": ""text/html; charset=utf-8"" } });```"
3435	midgampanel.com.js	Improper Cache Control for Dynamic Resources	Medium	false	CWE-921	N/A	N/A	N/A	{The vulnerability arises from hard-coded precaching of static resources, not from misuse of a sensitive function. The function toolbox.precache is used correctly with fixed paths, and no dynamic or untrusted input is involved.}	```toolbox.precache(['/', '/inc/w3rtl.css', '/inc/w3.css', '/nimg/logo.jpg']);```
3436	midgampanel.com.js	Improper Query String Handling in Caching	Medium	false	CWE-918	N/A	N/A	N/A	{The issue stems from the configuration option ignoreSearch: true, which is a deliberate design choice for caching behavior, not misuse of a sensitive function. No dynamic or untrusted input is processed by a sensitive function here.}	```queryOptions: { ignoreSearch: true }```
3437	triaba.com.js	Improper Cache Deletion Leading to Data Loss	High	true	CWE-399	9	caches.keys	custom	{The caches.keys() function is used to retrieve all cache names, but the subsequent filtering and deletion logic is flawed. The condition `key !== dynamicCacheName` is incorrect because it compares a string with a function, which will always evaluate to true, leading to no caches being deleted. This misuse of caches.keys() and improper handling of the keys array results in unintended cache retention or deletion, potentially causing data loss or cache pollution.}	```self.addEventListener('activate', evt => {  evt.waitUntil(caches.keys().then(keys => {    return Promise.all(keys.filter(key !== dynamicCacheName).map(key => caches.delete(key)));  }));  return self.clients.claim();});```
3438	triaba.com.js	Path Traversal in Cache Matching	High	true	CWE-22	8	RegExp.match	standard	{The use of a regular expression with a pattern `/(.*?)\/uploads\/(.*?)` to match URLs in the fetch event handler allows for arbitrary path traversal. Since the pattern is overly permissive and does not validate or sanitize the matched path components, an attacker could craft a request URL with malicious path segments (e.g., `../../etc/passwd`) to bypass intended restrictions and access unintended resources, leading to unauthorized data exposure or cache manipulation.}	```if (!evt?.request?.url?.match(/(.*?)\/uploads\/(.*?)/)) return;```
3439	michanikos.gr.js	Insecure Handling of Notification Data (XSS)	High	true	CWE-79	N/A	self.registration.showNotification	standard	{The function self.registration.showNotification is used to display notifications with user-controlled data (title, body, icon, etc.) directly from the push event payload without sanitization. Since the data comes from an external source (push message), an attacker can inject malicious content (e.g., script tags) into the notification, leading to XSS if the browser renders it in a context that executes JavaScript.}	```const { body, url, grouped, groupedTitle, groupedUrl, icon, image } = data; let { title } = data; let tag; if (data.tag) { tag = data.tag.substr(0, 30); } let options = { body, icon: icon ? icon : NOTIFICATION_ICON, image: image ? image : null, data: { url } };```
3440	michanikos.gr.js	Open Redirect in Notification Click	Medium	true	CWE-601	N/A	clients[0].navigate	standard	{The function clients[0].navigate is called with a URL derived from the notification's data.url, which is user-controlled via the push event. If an attacker can manipulate the push payload to include a malicious URL, this can lead to an open redirect, potentially phishing users or redirecting them to malicious sites.}	```if (data.url) { clients[0].navigate(data.url); } else { clients[0].navigate(BASE_URL); }```
3441	michanikos.gr.js	Potential SSRF via Push Event	High	true	CWE-918	N/A	fetch	standard	{The fetch function is used to make a request to a URL constructed from the push event's id parameter, which is user-controlled. If the server does not validate the id parameter, an attacker could craft a push message with an id that causes the service worker to make requests to internal or external resources, potentially leading to SSRF.}	```fetch(`${BASE_URL}index.php?app=core&module=system&controller=notifications&do=fetchNotification&id=${id}`, { method: 'POST', credentials: 'include' })```
3442	michanikos.gr.js	Insecure CSRF Token Handling	Medium	true	CWE-352	N/A	fetch	standard	{The fetch function is used to retrieve a CSRF token from a URL constructed using the request's path, which is user-controlled. If the path is not properly validated, an attacker could manipulate it to fetch tokens for unintended endpoints, potentially leading to CSRF attacks if the token is then used in subsequent requests.}	```fetch(`${BASE_URL}index.php?app=core&module=system&controller=ajax&do=getCsrfKey&path=${path}`).then(response => response.json()).then(response => { const headers = new Headers(curRequest.headers); headers.set('X-Csrf-Token', response.key); })```
3443	michanikos.gr.js	Insecure URL Parsing for Logged-In Status	High	true	New	N/A	e.currentTarget.location.href.match	standard	{The function match is used to extract the logged-in status from the service worker's current URL, which is user-controlled. If the URL is manipulated (e.g., via a crafted redirect or malicious site), the service worker may incorrectly determine the user's login state, leading to potential bypasses of authentication checks or other logic flaws.}	```let matches = e.currentTarget.location.href.match(/loggedIn=(true|false)/); const loggedIn = matches[1]; if (loggedIn == 'true') { log('Logged in, nothing to do...'); return; }```
3444	ujerseyus.com.js	Insecure Direct Object Reference (IDOR) in Host Parameter	High	true	CWE-20	9	N/A	standard	{The fetch function is used with a dynamically constructed URL derived from payload.data.host, which is sourced from untrusted push notification data. Since the host is not validated or sanitized, an attacker can manipulate it to access unauthorized resources on the server, leading to IDOR.}	```fetch(`${payload.data.host}/front/popup`, { method: 'PUT', body: JSON.stringify({ subscription_code: payload.data.subscription_code, trance_id: payload.data.trance_id }), headers: { 'Content-Type': 'application/json' } }).then(res => {});```
3445	ujerseyus.com.js	Open Redirect via Unvalidated Notification Data	High	true	CWE-601	9	N/A	standard	{The clients.openWindow function is called with a URL derived from the link or urls[action] fields in the notification data, which are untrusted and unvalidated. This allows an attacker to redirect users to arbitrary websites, leading to open redirect vulnerabilities.}	```e.waitUntil(clients.openWindow(link));```
3446	ujerseyus.com.js	Unvalidated JSON Payload Handling	Medium	false	CWE-20	N/A	N/A	N/A	{The payload is parsed using event.data.json(), which is a standard and safe method for parsing JSON in Service Workers. While the data source is untrusted, the function itself is not inherently unsafe; the vulnerability lies in the lack of validation of the parsed data, not in the function misuse.}	```const payload = event.data ? event.data.json() : null;```
3447	ujerseyus.com.js	Insecure Fetch Response Handling	Low	false	CWE-252	N/A	N/A	N/A	{The code checks res.code === 0, but this is not a misuse of a sensitive function. The fetch API is used correctly; the issue is a logic flaw in handling the response, not improper use of a sensitive function.}	```if (res.code === 0) { console.log('webpush点击事件统计成功'); }```
3448	stroychet.ru.js	Insecure External Script Loading	High	true	N/A	10	importScripts	standard	{The importScripts function is a standard JavaScript API used in Service Workers to load and execute external scripts. While the URL in this case is hard-coded and not derived from untrusted input, the function itself is inherently sensitive because it can execute arbitrary code from remote sources. However, since the URL is fixed and not dynamically constructed from user-controlled or untrusted data, the risk is mitigated but still present due to the potential for supply chain compromise if the external script is compromised.}	"```if (typeof importScripts === 'function') { importScripts(""https://image.sendsay.ru/js/push/sendsay_swa.js""); }```"
3449	premagic.com.js	Improper Input Validation	High	true	CWE-20	9	N/A	standard	{The `MessageAPI[api](event, event.data);` line dynamically invokes a function from the `MessageAPI` object based on the `api` value received from `event.data`. Since `api` is derived from untrusted user input (via `self.addEventListener('message', ...)`), an attacker can send a malicious `api` value to trigger arbitrary function calls, potentially leading to unauthorized operations such as clearing caches or enabling/disabling offline shell features. This constitutes a dangerous form of reflective function invocation.}	```MessageAPI[api](event, event.data);```
3450	premagic.com.js	Improper Input Validation	Medium	false	CWE-20	N/A	{The `const [key, val] = param.split(`=`);	N/A	N/A	N/A
3451	premagic.com.js	Improper Enforcement of Bounding Resource	Medium	false	CWE-377	N/A	```if (key && key.includes(`runtime`)) { return caches.delete(key); }	N/A	{The `if (key && key.includes(`runtime`)) { return caches.delete(key); }` line checks for cache keys containing `runtime` and deletes them. This is a conditional deletion based on a string match, not a sensitive function misuse. The `caches.delete()` function is used safely with a controlled key derived from `caches.keys()`, and no untrusted input is directly passed to it.}	N/A
3452	premagic.com.js	Improper Check for Unusual Conditions	Medium	false	CWE-703	N/A	```if (MessageAPI[data.api] !== undefined) { MessageAPI[data.api](); }	N/A	{The `if (MessageAPI[data.api] !== undefined) { MessageAPI[data.api](); }` line checks if a function exists in the `MessageAPI` object before invoking it. While this check is necessary, it does not involve a sensitive function misuse. The vulnerability arises from the lack of validation on `data.api`, which is derived from user input, but the function call itself is not inherently dangerous due to the nature of the `MessageAPI` functions.}	N/A
3453	xn--ob-eka.se.js	Improper Handling of Cache and Fetch Leading to SSRF Vulnerability	High	true	CWE-918	9	fetch	standard	{The fetch() function is used without validating or sanitizing the request URL, which is derived from the incoming fetch event. Since the service worker processes any request made by the client (including potentially malicious URLs), this allows an attacker to trigger requests to internal or external resources, leading to Server-Side Request Forgery (SSRF). The vulnerability arises because fetch() is a standard JavaScript API that executes network requests based on untrusted input, and no checks are performed to restrict or sanitize the target URL.}	"```self.addEventListener(""fetch"", e => { ""navigate"" === e.request.mode && e.respondWith(caches.match(e.request).then(() => fetch(e.request).catch(() => caches.match(offlinePage)))); });```"
3454	kcsgis.com.js	Improper URL Matching in Regex Patterns	Medium	false	N/A	N/A	N/A	N/A	{The vulnerability arises from the use of improperly escaped or overly broad regular expressions in URL matching, which can lead to unintended matches or bypasses. However, this is not due to misuse of a sensitive JavaScript function, but rather flawed pattern design.}	"```const c = JSON.parse('[""kcsgis\\\\.com(?:/.*)?/ola/services/.*"",""kcsgis\\\\.com/ola/meetings/.*"",""/api/"",""https://api\\\\.ola\\\\.godaddy\\\\.com"",""https://ba6716fe-099d-4ca3-b182-d8b02318b5b8\\\\.onlinestore\\\\.godaddy\\\\.com"",""/t/1/tl/event"",""google-analytics\\\\.com/collect"",""calendar\\\\.apps\\\\.(dev-|test-)?secureserver\\\\.net""]').map(e => new RegExp(e));```"
3455	kcsgis.com.js	Insecure Caching of Sensitive Data	High	true	N/A	N/A	registerRoute	standard	{The registerRoute function is misused by passing a dynamic regex pattern derived from JSON-parsed strings, which can lead to unintended caching of sensitive or malicious content if the patterns are not properly validated. The function is standard and used to define routing rules, but when combined with untrusted or improperly sanitized input, it can allow attackers to manipulate cache behavior.}	```(0, e.registerRoute)(({ url: e }) => c.some(t => t.test(e.href)), new t.NetworkFirst({ cacheName: 'network-first', plugins: [new a.CacheableResponsePlugin({ statuses: [200] })] }));```
3456	kcsgis.com.js	Potential Cache Deletion of Unintended Caches	Medium	true	N/A	N/A	caches.delete	standard	{The caches.delete function is used with a dynamic filter based on cache names starting with 'kcsgis.com-', which can lead to unintended deletion of caches if the filter is not properly constrained. This is a standard function, but its misuse with dynamic input can result in cache poisoning or data loss.}	```self.addEventListener('activate', function (e) { e.waitUntil(caches.keys().then(function (e) { return Promise.all(e.filter(e => e.startsWith('kcsgis.com-')).map(e => caches.delete(e))); })); });```
